2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 54/139: grid_20251201_172119_691330_000539.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 55/139: grid_20251201_172119_691330_000549.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 56/139: grid_20251201_172119_691330_000559.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 57/139: grid_20251201_172119_691330_000569.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 58/139: grid_20251201_172119_691330_000579.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 59/139: grid_20251201_172119_691330_000589.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 60/139: grid_20251201_172119_691330_000599.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 61/139: grid_20251201_172119_691330_000609.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 62/139: grid_20251201_172119_691330_000619.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 63/139: grid_20251201_172119_691330_000629.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 64/139: grid_20251201_172119_691330_000639.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 65/139: grid_20251201_172119_691330_000649.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 66/139: grid_20251201_172119_691330_000659.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 67/139: grid_20251201_172119_691330_000669.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 68/139: grid_20251201_172119_691330_000679.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 69/139: grid_20251201_172119_691330_000689.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 70/139: grid_20251201_172119_691330_000699.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 71/139: grid_20251201_172119_691330_000709.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 72/139: grid_20251201_172119_691330_000719.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 73/139: grid_20251201_172119_691330_000729.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 74/139: grid_20251201_172119_691330_000739.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 75/139: grid_20251201_172119_691330_000749.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 76/139: grid_20251201_172119_691330_000759.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 77/139: grid_20251201_172119_691330_000769.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 78/139: grid_20251201_172119_691330_000779.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 79/139: grid_20251201_172119_691330_000789.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 80/139: grid_20251201_172119_691330_000799.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 81/139: grid_20251201_172119_691330_000809.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 82/139: grid_20251201_172119_691330_000819.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 83/139: grid_20251201_172119_691330_000829.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 84/139: grid_20251201_172119_691330_000839.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 85/139: grid_20251201_172119_691330_000849.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 86/139: grid_20251201_172119_691330_000859.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 87/139: grid_20251201_172119_691330_000869.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 88/139: grid_20251201_172119_691330_000879.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 89/139: grid_20251201_172119_691330_000889.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 90/139: grid_20251201_172119_691330_000899.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 91/139: grid_20251201_172119_691330_000909.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 92/139: grid_20251201_172119_691330_000919.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 93/139: grid_20251201_172119_691330_000929.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 94/139: grid_20251201_172119_691330_000939.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 95/139: grid_20251201_172119_691330_000949.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 96/139: grid_20251201_172119_691330_000959.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 97/139: grid_20251201_172119_691330_000969.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 98/139: grid_20251201_172119_691330_000979.npy
